HH_ID,AGE_REF,FAM_SIZE,BLS_URBN,REGION,CUTENURE,VEHQ,FINLWT21,TOTEXPCQ,HOUSCQ,TRANSCQ,FOODCQ,HEALTHCQ,ENTERTCQ,MORTGAGE_QTR
0451238,39,1,1,4.0,1,1,2641.63,15366.6667,8054.6666000000005,805.0,2192.6666999999998,1541.6666,819.0,0.0
0451239,40,1,1,4.0,4,1,29151.323,29648.6666,13511.0,970.0,5286.6666000000005,2923.3333000000002,653.0,0.0
0451242,22,1,1,4.0,4,1,23409.614,5702.5,2500.0,541.0,1226.6667,46.0,35.0,0.0
0451243,53,2,1,2.0,1,2,26496.338,58521.000100000005,43835.6666,2721.3334,2400.6666999999998,2853.3334,92.0,0.0
0451244,75,2,2,4.0,2,1,12417.123,5469.0,1728.3333,682.0,754.0,1530.6667,368.0,0.0
0451245,25,2,1,3.0,1,2,46007.531,14761.0001,5791.3334,1405.3333,2560.0,750.0,646.0,0.0
0451246,60,3,1,3.0,4,0,25223.832,3114.3333,2025.0,0.0,1083.3333,6.0,0.0,0.0
0451247,46,6,1,4.0,2,2,7540.046,36034.5661,13312.6666,1528.6666,5460.0,2300.0,1759.0,0.0
0451248,58,1,1,1.0,1,0,22418.231,24884.1668,12060.000100000001,2734.3333000000002,5038.3333,2099.9999,560.0,0.0
0451249,51,3,1,2.0,4,1,31367.296,4062.1666,2463.0,723.3333,316.6667,0.0,0.0,0.0
0451250,68,3,1,3.0,2,3,23942.831,46360.166900000004,2869.9999,37537.0,2846.6666999999998,1762.6667,315.0,0.0
0451252,46,5,1,3.0,1,4,38424.677,92009.05660000001,32853.3333,8023.3333,14802.6667,7779.999900000001,4898.0,0.0
0451253,87,1,1,1.0,4,1,21792.785,7407.0,4122.0,330.0,1015.3333,1336.3333,324.0,0.0
0451254,62,2,1,2.0,2,6,18237.765,17098.333300000002,4360.0,2396.3333000000002,3178.3333,3645.6666999999998,527.0,0.0
0451255,53,2,1,3.0,4,4,43210.99,12908.3334,4130.0,1978.0,3553.3333,1148.0,286.0,0.0
0451257,87,1,1,3.0,2,1,30201.546,5196.3333,1726.0,561.6667,953.3333,984.0,328.0,0.0
0451259,59,2,1,2.0,2,2,33255.088,4418.8333,1276.0,184.6667,910.0,701.3333,0.0,0.0
